央视频道,#genre#
河南卫视,http://123.14.86.181:8888/hls/17/index.m3u8
浙江卫视,http://123.14.86.181:8888/hls/18/index.m3u8
东方卫视,http://123.14.86.181:8888/hls/19/index.m3u8
天津卫视,http://123.14.86.181:8888/hls/20/index.m3u8
安徽卫视,http://123.14.86.181:8888/hls/21/index.m3u8
山东卫视,http://123.14.86.181:8888/hls/22/index.m3u8
湖北卫视,http://123.14.86.181:8888/hls/23/index.m3u8
深圳卫视,http://123.14.86.181:8888/hls/24/index.m3u8
黑龙江卫视,http://123.14.86.181:8888/hls/25/index.m3u8
北京卫视,http://123.14.86.181:8888/hls/26/index.m3u8
湖南卫视,http://123.14.86.181:8888/hls/27/index.m3u8
江苏卫视,http://123.14.86.181:8888/hls/28/index.m3u8
睛彩中原,http://123.14.86.181:8888/hls/29/index.m3u8
辽宁卫视,http://123.14.86.181:8888/hls/30/index.m3u8
江西卫视,http://123.14.86.181:8888/hls/31/index.m3u8
四川卫视,http://123.14.86.181:8888/hls/32/index.m3u8
云南卫视,http://123.14.86.181:8888:4021/rtp/225.1.4.33:1062
贵州卫视,http://123.14.86.181:8888:4021/rtp/225.1.4.41:1070
东南卫视,http://123.14.86.181:8888:4021/rtp/225.1.4.32:1061
重庆卫视,http://123.14.86.181:8888:4021/rtp/225.1.4.29:1058
广西卫视,http://123.14.86.181:8888:4021/rtp/225.1.4.31:1060
河北卫视,http://123.14.86.181:8888:4021/rtp/225.1.4.34:1063
吉林卫视,http://123.14.86.181:8888:4021/rtp/225.1.4.36:1065
山西卫视,http://123.14.86.181:8888:4021/rtp/225.1.4.38:1067
陕西卫视,http://123.14.86.181:8888:4021/rtp/225.1.4.39:1068
甘肃卫视,http://123.14.86.181:8888:4021/rtp/225.1.4.42:1071
厦门卫视,http://123.14.86.181:8888:4021/rtp/225.1.4.95:1124
BTV动画,http://123.14.86.181:8888:4021/rtp/225.1.4.48:1077
金鹰卡通,http://123.14.86.181:8888:4021/rtp/225.1.4.49:1078
嘉佳卡通,http://123.14.86.181:8888:4021/rtp/225.1.4.92:1121


河北卫视,http://121.24.98.104:8090/hls/25/index.m3u8
北京卫视,http://121.24.98.104:8090/hls/32/index.m3u8
天津卫视,http://121.24.98.104:8090/hls/33/index.m3u8
河南卫视,http://121.24.98.104:8090/hls/34/index.m3u8
山西卫视,http://121.24.98.104:8090/hls/35/index.m3u8
东南卫视,http://121.24.98.104:8090/hls/36/index.m3u8
吉林卫视,http://121.24.98.104:8090/hls/37/index.m3u8
江苏卫视,http://121.24.98.104:8090/hls/38/index.m3u8
山东卫视,http://121.24.98.104:8090/hls/39/index.m3u8
贵州卫视,http://121.24.98.104:8090/hls/40/index.m3u8
云南卫视,http://121.24.98.104:8090/hls/41/index.m3u8
黑龙江卫视,http://121.24.98.104:8090/hls/42/index.m3u8
内蒙古卫视,http://121.24.98.104:8090/hls/43/index.m3u8
河北收视指南,http://121.24.98.104:8090/hls/44/index.m3u8
文物宝库,http://121.24.98.104:8090/hls/47/index.m3u8
宁夏卫视,http://121.24.98.104:8090/hls/49/index.m3u8
青海卫视,http://121.24.98.104:8090/hls/51/index.m3u8
旅游卫视,http://121.24.98.104:8090/hls/52/index.m3u8
兵团卫视,http://121.24.98.104:8090/hls/54/index.m3u8
江西卫视,http://121.24.98.104:8090/hls/55/index.m3u8
湖南卫视,http://121.24.98.104:8090/hls/56/index.m3u8
湖北卫视,http://121.24.98.104:8090/hls/57/index.m3u8
四川卫视,http://121.24.98.104:8090/hls/58/index.m3u8
辽宁卫视,http://121.24.98.104:8090/hls/59/index.m3u8
河北杂技,http://121.24.98.104:8090/hls/60/index.m3u8
新疆卫视,http://121.24.98.104:8090/hls/61/index.m3u8
西藏卫视,http://121.24.98.104:8090/hls/68/index.m3u8
凤凰资讯,http://121.24.98.104:8090/hls/70/index.m3u8
金鹰卡通,http://121.24.98.104:8090/hls/72/index.m3u8
中国交通,http://121.24.98.104:8090/hls/76/index.m3u8
上海东方,http://121.24.98.104:8090/hls/77/index.m3u8
